builder_raw,model_rows,first_year_min,first_year_max,sample_model
CBS Nautica,1,1965,1965,PIVIERE 6.60
Cecil Lange & Son,2,1979,1990,CAPE GEORGE 31
Cecil Lange & Son (USA),1,1985,1985,CAPE GEORGE 38
Celestial,1,1987,1987,CELERE 48
Celestial (CHINA),1,1985,1985,CELESTIAL 46
Cenit (SWE),2,1987,1997,CENIT 37
Central Boating Services,1,1976,1976,GEM 550
Central Shipyard (USA),1,1937,1937,GREAT SOUTH BAY ONE-DESIGN
Centro Nautico Adriatico (ITA),1,1988,1988,PHANTOM 16 (CATAMARAN)
Cervetti Catamarans (ITA),1,2018,2018,DUFOUR 48 SAIL
Challenger,1,1977,1977,CHALLENGER 41
Challenger Yachts (CAN),1,1969,1969,CLIPPER 23 (MCGRUER)
Challenger Yachts (USA),1,1972,1972,ANACAPA 42 (CHALLENGER)
Challenger Yachts Corp. (USA),1,1972,1972,CHALLENGER 38
Challenger Yachts Ltd. (CAN),1,1974,1974,CHALLENGER 7.4
Channel Cutter Yachts,1,1982,1982,FALMOUTH CUTTER 34
Chantier Alubat (FRA),3,1987,2004,OVNI 30
Chantier Aubin (FRA),1,1976,1976,CABERNET
Chantier Costantini,1,1967,1967,BINIOU
Chantier Costantini (FRA),1,1961,1961,TARANN
Chantier Gouteron,1,1970,1970,SUPER SIMOUN 580
Chantier Gouteron (FRA),2,1970,1972,BES 1/2 TON
Chantier L. Gouteron (FRA),1,1968,1968,SIMOUN JUNIOR
Chantier Madiana (FRA),1,1931,1931,LOUP
Chantier Malliard (FR),2,1968,1972,ECUME DE MER
chantier naval Amiguet (FRA),1,1954,1954,CORSAIRE
Chantier Naval Force 3,2,1991,1992,PIANA 37
Chantier naval Rousillonnais (FRA),1,1978,1978,FERIA 9M
Chantier Naval Structures,1,2005,2005,POGO 40
Chantier Quere (FRA),1,1973,1973,SUPER ARLEQUIN
Chantier Wrighton (FRA),3,2006,2011,BI-LOUP 30
Chantiers Alubat (FRA),2,2012,2018,OVNI 52 EVOLUTION
Chantiers Gouteron (FRA),1,1972,1972,SIMOUN 485
Chantiers Loctudy (FRA),1,1952,1952,BONITO (SERGENT)
Chapman and Associates (USA),1,1970,1970,LAPWORTH 48
"Charger, Inc. (USA)",1,1982,1982,CHARGER 23
